# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.19306E-04    -2.20     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# extinction:   Av, Rv =  0.000 3.100
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   556   37
#   1                               2                               3                               4                               5                               6                               7                               8                               9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                  36                  37
# EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_R                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3     Gemini_NIRI_BrG    WIYN_NESSI_NB832               phase
  253         1.0079181246047623E+001         1.0532378504989570E-001         1.0532257509191312E-001         3.5569606651890542E+000        -9.4375990070883109E-001         5.3444104610486303E+000        -2.7050314450256749E+000        -2.2000000000000002E+000           -2.277440           15.756023           14.157887           12.591816           11.634824           10.805773            9.746021            9.040020            8.826781           11.849995           13.444502           12.642159           14.629886           12.784455           11.897874           12.844986           10.968880           11.895835           12.828051           12.878036           10.965595           10.955575           11.900867           12.832030           10.954469            8.770576           10.663496            0.000000
  254         1.0079181246047623E+001         1.0804657760528361E-001         1.0804529467746425E-001         3.5593102115368587E+000        -9.3469907361522897E-001         5.3358778383118697E+000        -2.6775116054472505E+000        -2.2000000000000002E+000           -2.277291           15.617240           14.060837           12.508326           11.559496           10.738558            9.686998            8.986575            8.774459           11.775640           13.347417           12.561380           14.523406           12.700015           11.824338           12.761598           10.900690           11.822147           12.744999           12.794819           10.897429           10.887674           11.827207           12.748752           10.886365            8.718428           10.596774            0.000000
  255         1.0079181246047623E+001         1.1120623463448004E-001         1.1120486220512001E-001         3.5619511776632304E+000        -9.2408860157716721E-001         5.3257844504628107E+000        -2.6457267968656408E+000        -2.2000000000000002E+000           -2.277112           15.460557           13.949291           12.412288           11.472737           10.660573            9.618328            8.924162            8.713326           11.689847           13.235805           12.468301           14.401532           12.602798           11.739415           12.665639           10.821707           11.737063           12.649406           12.699024           10.818466           10.808979           11.742155           12.652925           10.807464            8.657490           10.519233            0.000000
  256         1.0079181246047623E+001         1.1443607809744941E-001         1.1443460791074508E-001         3.5646601291613056E+000        -9.1323348074948274E-001         5.3154489347697584E+000        -2.6131807492179724E+000        -2.2000000000000002E+000           -2.276922           15.301438           13.834724           12.313832           11.383901           10.580364            9.547810            8.860148            8.650526           11.601901           13.121171           12.372791           14.276722           12.503016           11.652325           12.567232           10.740579           11.649817           12.551361           12.600756           10.737357           10.728107           11.654941           12.554662           10.726407            8.594992           10.439360            0.000000
  257         1.0079181246047623E+001         1.1786204059497042E-001         1.1786046053035867E-001         3.5675330467518647E+000        -9.0170248252569807E-001         5.3044523359349816E+000        -2.5786270824081656E+000        -2.2000000000000002E+000           -2.276711           15.134018           13.712924           12.209283           11.289663           10.494822            9.472709            8.791819            8.583615           11.508521           12.999310           12.271276           14.144474           12.396934           11.559828           12.462704           10.654196           11.557159           12.447201           12.496345           10.650990           10.641945           11.562317           12.450294           10.640081            8.528374           10.354042            0.000000
  258         1.0079181246047623E+001         1.2119947625008848E-001         1.2119778161177419E-001         3.5703239830820621E+000        -8.9043903968117766E-001         5.2936790660108803E+000        -2.5449364513983355E+000        -2.2000000000000002E+000           -2.276497           14.972267           13.593953           12.107298           11.197840           10.411102            9.399216            8.724751            8.518089           11.417436           12.880244           12.172168           14.015729           12.293331           11.469586           12.360722           10.569726           11.466766           12.345562           12.394447           10.566533           10.557664           11.471959           12.348475           10.555658            8.463047           10.270465            0.000000
  259         1.0079181246047623E+001         1.2446820304858272E-001         1.2446638861008313E-001         3.5730607360858144E+000        -8.7938724962382397E-001         5.2830871141214253E+000        -2.5118858592686202E+000        -2.2000000000000002E+000           -2.276279           14.813973           13.476305           12.006827           11.107560           10.328836            9.326805            8.658503            8.453451           11.327716           12.762345           12.074472           13.888694           12.191114           11.380669           12.260244           10.486576           11.377703           12.245409           12.294032           10.483400           10.474767           11.382931           12.248167           10.472571            8.398603           10.188431            0.000000
  260         1.0079181246047623E+001         1.2785761582716071E-001         1.2785566894778455E-001         3.5759127613741528E+000        -8.6791306492728282E-001         5.2720753846841664E+000        -2.4775293887221816E+000        -2.2000000000000002E+000           -2.276045           14.649519           13.353024           11.901916           11.013477           10.243187            9.251265            8.589277            8.385988           11.234064           12.638647           11.972415           13.755816           12.084236           11.287827           12.155320           10.399859           11.284712           12.140809           12.189151           10.396708           10.388384           11.289980           12.143423           10.385941            8.331345           10.103130            0.000000
  261         1.0079181246047623E+001         1.3128666276392473E-001         1.3128457377860073E-001         3.5787944956735669E+000        -8.5627578982852315E-001         5.2608770409397101E+000        -2.4427279013270073E+000        -2.2000000000000002E+000           -2.275798           14.483402           13.227479           11.795320           10.918002           10.156292            9.174460            8.518781            8.317338           11.138889           12.512529           11.868668           13.620745           11.975527           11.193447           12.048706           10.311769           11.190184           12.034513           12.082561           10.308645           10.300692           11.195495           12.036998           10.297952            8.262905           10.016700            0.000000
  262         1.0079181246047623E+001         1.3468100885034315E-001         1.3467876922199404E-001         3.5816321798282580E+000        -8.4470714040428152E-001         5.2496937256130938E+000        -2.4082398658597608E+000        -2.2000000000000002E+000           -2.275546           14.319528           13.102714           11.689505           10.823280           10.070052            9.098071            8.448561            8.248983           11.044349           12.387066           11.765627           13.486755           11.867531           11.099669           11.942865           10.224263           11.096260           11.928978           11.976729           10.221170           10.213628           11.101615           11.931350           10.210559            8.194760            9.931026            0.000000
  263         1.0079181246047623E+001         1.3812128454425271E-001         1.3811888159414420E-001         3.5845259844990580E+000        -8.3295886228712379E-001         5.2383128880663108E+000        -2.3731680909422446E+000        -2.2000000000000002E+000           -2.275283           14.152929           12.975277           11.581583           10.726773            9.982221            9.020234            8.377001            8.179357           10.947939           12.258816           11.660507           13.350066           11.757306           11.004018           11.834909           10.135075           11.000463           11.821328           11.868771           10.132016           10.124931           11.005864           11.823594           10.121496            8.125354            9.843876            0.000000
  264         1.0079181246047623E+001         1.4159634393802215E-001         1.4159376560392495E-001         3.5874598448333694E+000        -8.2106459828458611E-001         5.2267625597122702E+000        -2.3376441215999231E+000        -2.2000000000000002E+000           -2.275007           13.984411           12.845854           11.472048           10.628881            9.893126            8.941248            8.304300            8.108721           10.850073           12.128483           11.553783           13.211412           11.645378           10.906905           11.725329           10.044561           10.903203           11.712055           11.759178           10.041539           10.034951           10.908650           11.714221           10.031119            8.054947            9.755580            0.000000
